latitude,longitude,OBJECTID,CECPlantID,PlantName,Retired_Plant,OperatorCompanyID,County,Capacity_Latest,Units,PriEnergySource,StartDate
34.090994648,-117.527171544,3079,G0201,Etiwanda Generating Station (Retired 6/1/2018),1,NRG Marsh Landing LLC,San Bernardino,1049.09,"UNIT 1, UNIT 2, UNIT 3, UNIT 4, UNIT 5",NG,"Fri, 10 Jul 1953 00:00:00 GMT"
34.081985327,-117.240713027,3086,G0523,Mountainview Power - Retired December 2005,1,Southern California Edison (SCE),San Bernardino,120,"MV 1, MV 2",NG,"Thu, 01 Aug 1957 00:00:00 GMT"
34.04734318,-117.340219529,3101,E0204,MN Colton Genco LLC (Retired 2013),1,OPAL Fuels,San Bernardino,1.3,1,LFG,"Thu, 01 Apr 2004 00:00:00 GMT"
34.023024149,-117.33142799,3103,G0259,Riverside Canal Power (Retired 12/31/2004),1,Riverside Canal Power Co Inc,San Bernardino,140,"RC 1, RC 2, RC 3, RC 4",NG,"Fri, 01 Aug 1952 00:00:00 GMT"
33.9550692560001,-117.121494658,3111,E0210,RCWMD Badlands Power Plant,1,County of Riverside Waste Management Department,Riverside,1.3,1,LFG,"Thu, 01 Feb 2001 00:00:00 GMT"
34.018565278,-116.894900272,3112,H0445,San Gorgonio 1,1,Southern California Edison (SCE),Riverside,1.5,1,WAT,"Sat, 01 Dec 1923 00:00:00 GMT"
34.318667442,-119.365038166,3119,G0658,Centaur Generator Facility (Shut Down 8/1/08),1,Vintage Petroleum Inc,Ventura,3.5,HG88583,NG,"Thu, 01 Dec 1988 00:00:00 GMT"
34.2332999160001,-119.211469314,3123,E0125,Oxnard - Closed December 2009,1,Pacific Recovery Corp,Ventura,14.85,"1, 1-3, 2, 3",LFG,"Sun, 01 Dec 1985 00:00:00 GMT"
34.206548437,-119.25084038,3125,G0330,Mandalay Generating Station (Retired 2/6/2018),1,GenOn Holdings Inc.,Ventura,573.33,"UNIT 1, UNIT 2, UNIT 3",NG,"Fri, 01 May 1959 00:00:00 GMT"
34.2918343000001,-118.801857281,3131,E0208,Simi Valley Landfill (Retired 9/30/2016),1,WM Energy Solutions Inc,Ventura,2.7,"1, 2",LFG,"Wed, 01 Dec 2004 00:00:00 GMT"
34.2213535120001,-118.379818639,3144,E0142,Penrose Landfill - Retired December 2005,1,SCS Energy,Los Angeles,18.65,"1, 2, 3, 4, 5, G1, G2, G3, G4, G5",LFG,"Sun, 01 Dec 1985 00:00:00 GMT"
