Project Name,Queue Position,Interconnection Request Receive Date,Application Status,Study Process,Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,MWh-1,MWh-2,MWh-3,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,Proposed On-line Date (as filed with IR),Current On-line Date,Suspension Status,Feasibility Study or Supplemental Review,System Impact Study or Phase I Cluster Study,Facilities Study (FAS) or Phase II Cluster Study,Optional Study (OS),Interconnection Agreement Status,clean substation name,Best GIS Substation Match,GIS Lat,GIS Long,STATEFP,COUNTYFP,Transmission Capacity,Permit Status
SANBORN 5 HYBRID,1791,4/10/2020,ACTIVE,C13,Storage,,,Battery,,,574.8854,,,550,,,,Energy Only,,,Group D,kern,CA,SCE,Northern,Windhub Substation 230kV,12/15/2024,5/1/2027,,NA,Complete,Complete,NA,Executed,Windhub,Windhub,35.03484956,-118.2806898,6,29,2741.4766683436565,1
SEQUOIA,1792,4/3/2020,ACTIVE,C13,Storage,Photovoltaic,,Battery,Solar,,102.963,206.13,,200,,,,Full Capacity,,Off-Peak Deliverability,Group D,tulare,CA,SCE,Northern,Vestal Substation 230 kV,10/31/2023,6/13/2026,,NA,Complete,Complete,NA,,Vestal,Vestal,35.8417435,-119.085048,6,107,2800.072281003376,1
CALVADA SPRINGS SOLAR,1798,4/8/2020,ACTIVE,C13,Photovoltaic,Storage,,Solar,Battery,,250,250,,250,,,,Full Capacity,,Off-Peak Deliverability,Group D,inyo,CA,GLW,,Trout Canyon Substation 230 kV,12/16/2022,6/1/2026,,NA,Complete,Complete,NA,,Trout Canyon,,37.16602342646666,-118.291072,6,27,494.6019096826528,1
CAPTIVA ENERGY STORAGE,1806,4/14/2020,ACTIVE,C13,Storage,,,Battery,,,256.875,,,250,,,,Full Capacity,,,Group 3,orange,CA,SDGE,,Trabuco - Capistrano 138 kV Line,6/1/2024,7/2/2025,,NA,Complete,Complete,NA,Executed,,,33.715790126693086,-117.8775886,6,59,2568.179423872294,1
DROP ZONE STORAGE,1810,4/15/2020,ACTIVE,C13,Storage,,,Battery,,,312.96,,,300.01,,,,Energy Only,,,Group B,san diego,CA,SDGE,,Otay Mesa Switchyard 230 kV,11/30/2024,6/25/2027,,NA,Complete,Complete,NA,Executed,,,32.877791375101495,-117.0904269,6,73,312.55729680664007,1
HEDIONDA ENERGY STORAGE,1814,4/1/2020,ACTIVE,C13,Storage,,,Battery,,,160,,,160,,,,Energy Only,,,Other,san diego,CA,SDGE,,Encina Substation 138 kV,3/31/2023,2/8/2024,,NA,Complete,Complete,NA,,Encina,Encina,33.136966,-117.335517,6,73,2739.0421495865835,1
HINTON ENERGY STORAGE,1815,3/31/2020,ACTIVE,C13,Storage,,,Battery,,,103.275,,,100,,,,Energy Only,,,Group D,san diego,CA,SDGE,,Creelman Substation 69 kV,6/1/2023,12/8/2024,,NA,Complete,Complete,NA,,Creelman,Creelman,33.01815277,-116.8529417,6,73,2064.501087,1
SCAFELL STORAGE,1820,4/12/2020,ACTIVE,C13,Storage,,,Battery,,,52,,,50,,,,Energy Only,,,Group B,san diego,CA,SDGE,,Creelman Substation 69 kV,11/15/2022,10/8/2024,,NA,Complete,Complete,NA,,Creelman,Creelman,33.01815277,-116.8529417,6,73,1750.6348584123039,1
SEGURO STORAGE,1821,4/15/2020,ACTIVE,C13,Storage,,,Battery,,,407,,,400,,,,Energy Only,,,Group D,san diego,CA,SDGE,,Escondido Substation 230 kV,10/30/2025,10/30/2025,,NA,Complete,Complete,NA,,Escondido,Escondido,33.12588885,-117.1167032,6,73,2477.8517694073457,1
"WELLHEAD POWER PANOCHE, LLC",1828,12/24/2019,ACTIVE,FT,Storage,,,Battery,,,5,,,5,,,,Energy Only,,,,fresno,CA,PGAE,Northern,Panoche 115 kV,4/1/2021,4/1/2021,,,NA,NA,NA,,,,36.73746095562381,-119.7875993,6,19,592.4004585266114,0
MIDLAND ES,1831,12/8/2020,ACTIVE,C14,Storage,,,Battery,,,405.4,,,400,,,,Full Capacity,,,,san luis obispo,CA,PGAE,Northern,Morro Bay 230 kV,11/1/2024,11/1/2024,,NA,Complete,,NA,,,,35.32455776134094,-120.6763329,6,79,959.0709825582665,0
GOAL LINE RELIABILITY,1832,2/8/2021,ACTIVE,C14,Storage,,,Battery,,,51.375,,,50,,,,Full Capacity,,,,san diego,CA,SDGE,,Escondido Substation 69 kV,5/30/2023,4/1/2025,,NA,Complete,,NA,,Escondido,Escondido,33.12588885,-117.1167032,6,73,2619.1071342986065,0
CASCADE ENERGY STORAGE EXPANSION,1835,2/26/2021,ACTIVE,ISP,Storage,,,Battery,,,20.25,,,20,,,,Full Capacity,,,Group D,san joaquin,CA,PGAE,Northern,Weber 60 kV,12/1/2022,10/2/2024,,NA,Complete,Complete,NA,,,,37.92235768157726,-121.2876342,6,77,2422.5598643224967,0
BRIX ENERGY STORAGE,1836,3/22/2021,ACTIVE,ISP,Storage,,,Battery,,,213.55,,,200,,,,Energy Only,,,Group B,sonoma,CA,PGAE,Northern,Fulton 115 kV,6/1/2023,11/1/2025,,NA,Complete,Complete,NA,Executed,,,38.40957275413591,-122.6971364,6,97,2236.436093661511,0
TAMALPAIS ENERGY STORAGE,1837,4/3/2021,ACTIVE,C14,Storage,,,Battery,,,313.79321,,,300,,,,Full Capacity,,,,marin,CA,PGAE,Northern,Ignacio 115 kV,6/1/2025,12/1/2025,,NA,Complete,,NA,,,,38.00477192,-122.5246756,6,41,2516.114793664601,0
BOREALIS ENERGY STORAGE,1838,4/2/2021,ACTIVE,C14,Storage,,,Battery,,,313.79321,,,300,,,,Full Capacity,,,,sonoma,CA,PGAE,Northern,Lakeville 115 kV,6/1/2025,6/1/2025,,NA,Complete,,NA,,,,38.42540546576786,-122.7393692,6,97,315.4916946590899,0
GENOA ENERGY STORAGE,1840,4/7/2021,ACTIVE,C14,Storage,,,Battery,,,252,,,250,,,,Full Capacity,,,,napa,CA,PGAE,Northern,Vaca-Lakeville #1 230 kV Line,8/1/2024,8/1/2024,,NA,Complete,,NA,,,,38.34043519334569,-122.3385032,6,55,588.2498587181651,0
TOLENAS,1842,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,417.3487,,,400,,,,Full Capacity,,,,solano,CA,PGAE,Northern,Lambie 230 kV,6/1/2026,8/15/2029,,NA,Complete,,NA,,,,38.246858836603074,-122.0571503,6,95,471.01818960370963,1
BRUSHY,1843,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,400,,,400,,,,Full Capacity,,,,solano,CA,PGAE,Northern,Lambie 230 kV,6/1/2026,8/15/2029,,NA,Complete,,NA,,,,38.230772613944346,-122.0492664,6,95,408.9682914515131,0
KANOA SOLAR,1844,4/7/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,159.418,160.3789,,150,,,,Full Capacity,,Off-Peak Deliverability,,glenn,CA,PGAE,Northern,Logan Creek-Delevan 230 kV Line,10/1/2025,10/1/2025,,NA,Complete,,NA,,,,39.680927802114844,-122.1624638,6,21,1050.5055982483923,0
NORTH BAY ENERGY STORAGE 2,1845,4/9/2021,ACTIVE,C14,Storage,,,Battery,,,102.2112,,,100,,,,Full Capacity,,,,sonoma,CA,PGAE,Northern,Lakeville 60 kV,6/1/2023,4/1/2025,,NA,Complete,,NA,,,,38.40335363,-122.7346432,6,97,2048.816883820138,0
WILDHORSE ENERGY CENTER,1846,4/10/2021,ACTIVE,C14,Storage,,,Battery,,,121.55,,,120,,,,Full Capacity,,Off-Peak Deliverability,,sonoma,CA,PGAE,Northern,Fulton 230 kV,4/1/2025,4/1/2026,,NA,Complete,,NA,,,,38.40299028281137,-122.7271681,6,97,631.3926662313679,1
DRANEM ENERGY STORAGE,1847,4/12/2021,ACTIVE,C14,Storage,,,Battery,,,710.6,,,700,,,,Full Capacity,,,,solano,CA,PGAE,Northern,Vaca-Dixon 500 kV,6/30/2024,6/30/2024,,NA,Complete,,NA,,,,38.22353752399758,-122.0607532,6,95,1202.3303173727754,1
HIGH WINDS STORAGE,1850,4/9/2021,ACTIVE,C14,Storage,,,Battery,,,120.62,,,100,,,,Full Capacity,,,,solano,CA,PGAE,Northern,Birds Landing 230 kV,3/30/2024,11/30/2027,,NA,Complete,,NA,,,,38.25154615765899,-122.0843501,6,95,1468.3522593102423,0
BULL RUN,1852,4/6/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,225,232.1,,225,,,,Full Capacity,,,,butte,CA,PGAE,Northern,Table Mountain 115 kV,12/31/2024,12/31/2024,,NA,Complete,,NA,,,,39.67719915,-121.7259934,6,7,605.1374939,0
BULL RUN 2 ES,1853,4/12/2021,ACTIVE,C14,Storage,,,Battery,,,205.1,,,200,,,,Full Capacity,,,,butte,CA,PGAE,Northern,Table Mountain 115 kV,12/31/2024,12/31/2024,,NA,Complete,,NA,,,,39.67565049981705,-121.725899,6,7,1274.9819609882395,0
CORBY 2,1854,4/9/2021,ACTIVE,C14,Storage,,,Battery,,,475.96,,,400,,,,Full Capacity,,,,solano,CA,PGAE,Northern,Vaca-Dixon 230 kV,11/30/2025,11/30/2025,,NA,Complete,,NA,,,,38.25417662409865,-122.0443447,6,95,952.2829447241824,0
ARGES BESS,1856,4/15/2021,ACTIVE,C14,Storage,,,Battery,,,102.15,,,100,,,,Full Capacity,,,,solano,CA,PGAE,Northern,Vaca-Dixon 115 kV,6/1/2024,6/1/2026,,NA,Complete,,NA,,,,38.24982543298211,-122.0677432,6,95,2582.862638,1
BLITZ ENERGY STORAGE,1857,4/15/2021,ACTIVE,C14,Storage,,,Battery,,,213.55,,,200,,,,Full Capacity,,,,sonoma,CA,PGAE,Northern,Fulton 115 kV,6/1/2023,11/1/2025,,NA,Complete,,NA,,,,38.39071108263245,-122.7343099,6,97,2298.676222940724,0
GRINDSTONE CREEK SOLAR,1858,4/15/2021,ACTIVE,C14,Photovoltaic,,,Solar,,,142.85,,,140,,,,Full Capacity,,Off-Peak Deliverability,,tehama,CA,PGAE,Northern,Cottonwood-Delevan #1 and #2 230 kV,8/31/2024,1/15/2027,,NA,Complete,,NA,,,,40.095584495304294,-122.1942369,6,103,2062.8074658907967,1
MAYACAMAS GEOTHERMAL,1859,4/15/2021,ACTIVE,C14,Steam Turbine,,,Geothermal,,,53,,,53,,,,Full Capacity,,,,sonoma,CA,PGAE,Northern,Geysers #3-Cloverdale 115 kV Line,2/1/2024,9/10/2027,,NA,Complete,,NA,,,,38.43283161,-122.7302426,6,97,2236.150787192578,1
MEADOW RIDGE SOLAR AND BATTERY,1860,4/16/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,93.5,19.992,,75,,,,Full Capacity,,Off-Peak Deliverability,,shasta,CA,PGAE,Northern,Pit 1-Cottonwood 230 kV Line,12/31/2024,10/1/2030,,NA,Complete,,NA,,,,40.57253141109139,-122.2849656,6,89,2356.9637081014193,1
VERBENA ENERGY STORAGE,1862,4/15/2021,ACTIVE,C14,Storage,,,Battery,,,50.5,,,49.2,,,,Full Capacity,,,,sutter,CA,PGAE,Northern,at Switch 125 outside Harter Sub,12/31/2023,6/1/2025,,NA,Complete,,NA,,,,39.13805268732509,-121.6585048,6,101,1983.8139706429556,1
STONY CREEK STORAGE,1863,4/15/2021,ACTIVE,C14,Storage,,,Battery,,,251.9,,,250,,,,Full Capacity,,Off-Peak Deliverability,,tehama,CA,PGAE,Northern,Cottonwood-Delevan #1 and #2 230 kV,8/31/2024,1/15/2027,,NA,Complete,,NA,,,,40.103605988463855,-122.2360741,6,103,1820.3145331124276,0
TOWNSHIP POWER BANK,1864,4/9/2021,ACTIVE,C14,Storage,,,Battery,,,50.5,,,49,,,,Full Capacity,,,,sutter,CA,PGAE,Northern,Greenleaf #1 115 kV Tap,4/1/2025,4/1/2025,,NA,Complete,,NA,,,,39.14363016145938,-121.6404389,6,101,2219.8105913840427,0
SEAHAWK STORAGE,1865,3/24/2021,ACTIVE,C14,Storage,,,Battery,,,203.699,,,200,,,,Full Capacity,,,,santa cruz,CA,PGAE,Northern,Green Valley 115 kV,6/1/2025,6/1/2025,,NA,Complete,,NA,,,,36.985966779691985,-121.9159917,6,87,209.4350479219084,1
TOKAY STORAGE,1866,3/24/2021,ACTIVE,C14,Storage,,,Battery,,,101.888,,,100,,,,Full Capacity,,,,santa clara,CA,PGAE,Northern,Santa Teresa 115 kV,6/1/2025,6/1/2025,,NA,Complete,,NA,,,,37.29340206495098,-121.9314371,6,85,2184.4743995259396,1
VELAS,1867,4/1/2021,ACTIVE,C14,Storage,,,Battery,,,462.57,,,450,,,,Full Capacity,,,,san joaquin,CA,PGAE,Northern,Schulte 115 kV,11/1/2024,10/1/2027,,NA,Complete,,NA,,,,37.946348626810845,-121.310644,6,77,1193.7452679267265,0
STAGELINE ENERGY STORAGE,1871,4/1/2021,ACTIVE,C14,Storage,,,Battery,,,213.55,,,200,,,,Full Capacity,,,,butte,CA,PGAE,Northern,Palermo 115 kV,6/1/2024,6/1/2024,,NA,Complete,,NA,,,,39.68120620698895,-121.7165128,6,7,2032.9381798462405,1
ALLEGHENY ENERGY STORAGE,1872,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,353.2,,,325,,,,Full Capacity,,,,contra costa,CA,PGAE,Northern,Pittsburg 115 kV,8/1/2024,8/1/2024,,NA,Complete,,NA,,,,37.915977017680085,-122.0041372,6,13,844.4944727695342,0
BEOWULF ENERGY STORAGE,1873,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,95.8,,,95,,,,Full Capacity,,,,santa clara,CA,PGAE,Northern,Evergreen 115 kV,8/1/2024,8/1/2024,,NA,Complete,,NA,,,,37.334808375603586,-121.9120172,6,85,1554.6301086736105,1
COMMANDER ENERGY STORAGE,1874,4/7/2021,ACTIVE,C14,Storage,,,Battery,,,504,,,500,,,,Full Capacity,,,,contra costa,CA,PGAE,Northern,Pittsburg 230 kV,8/1/2024,8/1/2024,,NA,Complete,,NA,,,,37.94286324,-122.004079,6,13,2675.6426168071075,1
DELILAH ENERGY STORAGE,1875,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,504,,,500,,,,Full Capacity,,,,contra costa,CA,PGAE,Northern,Pittsburg-Tesla #1 230 kV Line,8/1/2024,8/1/2024,,NA,Complete,,NA,,,,37.91658045485095,-122.0036559,6,13,237.66534839236346,0
DOUBLE SPRINGS ENERGY STORAGE,1876,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,101,,,100,,,,Full Capacity,,,,calaveras,CA,PGAE,Northern,Valley Springs 60 kV,11/29/2024,11/29/2024,,NA,Complete,,NA,,,,38.17193868180752,-120.6506948,6,9,2965.1595082288977,1
JAGUAR ENERGY STORAGE,1877,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,252,,,250,,,,Full Capacity,,,,alameda,CA,PGAE,Northern,Grant-Eastshore #1 115 kV Line,8/1/2024,8/1/2024,,NA,Complete,,NA,,,,37.69677753402263,-122.0968539,6,1,821.6484755765687,0
PALMETTO ENERGY STORAGE,1880,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,75.6,,,75,,,,Full Capacity,,,,alameda,CA,PGAE,Northern,Oakland C 115 kV,8/1/2024,8/1/2024,,NA,Complete,,NA,,,,37.68796637026512,-122.1079879,6,1,1034.1837903606515,1
SPECTRUM ENERGY STORAGE,1881,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,504,,,500,,,,Full Capacity,,,,alameda,CA,PGAE,Northern,Tesla-Newark #1 230 kV Line,8/1/2024,8/1/2024,,NA,Complete,,NA,,,,37.72791185609504,-122.0861005,6,1,2571.2547577473165,0
PRESIDIO,1887,4/7/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,356.592,356.592,,350,,,,Full Capacity,,Off-Peak Deliverability,,san joaquin,CA,PGAE,Northern,Rancho Seco-Bellota #1 230 kV Line,6/1/2025,5/15/2029,,NA,Complete,,NA,,,,37.90667414302371,-121.3028571,6,77,1811.4858668789652,0
HOLMAN,1889,4/7/2021,ACTIVE,C14,Storage,Wind Turbine,,Battery,Wind Turbine,,756.813,1525.172,,1500,,,,Full Capacity,,Off-Peak Deliverability,,monterey,CA,PGAE,Northern,Moss Landing 500 kV,4/1/2028,5/31/2031,,NA,Complete,,NA,,,,36.59089045100614,-121.6482899,6,53,2517.7012988189895,0
HARMONY STORAGE 2,1892,4/8/2021,ACTIVE,C14,Storage,,,Battery,,,307.878,,,300,,,,Full Capacity,,,,contra costa,CA,PGAE,Northern,Contra Costa PP 230 kV,10/30/2025,9/1/2026,,NA,Complete,,NA,,,,37.936790224217916,-122.0082426,6,13,1534.6711149762302,1
ADA ENERGY STORAGE,1894,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,505.2,,,500,,,,Full Capacity,,,,santa clara,CA,PGAE,Northern,Monta Vista 230 kV,8/1/2024,8/1/2024,,NA,Complete,,NA,,,,37.32278300288008,-121.9266556,6,85,1033.5529738760083,0
OAKDALE STORAGE,1895,4/8/2021,ACTIVE,C14,Storage,,,Battery,,,102.672,,,100,,,,Full Capacity,,,,stanislaus,CA,PGAE,Northern,Cottle 230 kV,10/30/2025,1/30/2026,,NA,Complete,,NA,,,,37.60255296304818,-120.9573253,6,99,1467.443948617089,1
PATHFINDER STORAGE,1896,4/8/2021,ACTIVE,C14,Storage,,,Battery,,,268.065,,,260,,,,Full Capacity,,,,san joaquin,CA,PGAE,Northern,Weber 60 kV,10/30/2025,9/1/2026,,NA,Complete,,NA,,,,37.94615138,-121.3139311,6,77,2168.8551499764567,0
NIGHTSHADE,1898,4/2/2021,ACTIVE,C14,Gas Turbine,Storage,,Natural Gas,Battery,,9.4,27,,34.1,,,,Full Capacity,,Off-Peak Deliverability,,contra costa,CA,PGAE,Northern,Kelso 230 kV,3/31/2027,3/31/2027,,NA,Complete,,NA,,,,37.942126505582095,-122.0367353,6,13,2126.7472451301173,1
BAYLANDS BATTERY,1900,4/12/2021,ACTIVE,C14,Storage,,,Battery,,,250,,,250,,,,Full Capacity,,,,san mateo,CA,PGAE,Northern,Martin 115 kV,7/27/2025,6/1/2031,,NA,Complete,,NA,,,,37.574460402007375,-122.3337635,6,81,1318.365071524023,1
GOLDEN FLATS,1903,4/9/2021,ACTIVE,C14,Storage,,,Battery,,,365.12,,,300,,,,Full Capacity,,,,stanislaus,CA,PGAE,Fresno,Westly-Quinto 230 kV,11/30/2025,11/30/2025,,NA,Complete,,NA,,,,37.63700463123524,-120.9685395,6,99,2771.472610150288,1
NORTHEAST CENTRAL VALLEY,1904,4/9/2021,ACTIVE,C14,Storage,,,Battery,,,365.12,,,300,,,,Full Capacity,,,,san joaquin,CA,PGAE,Northern,Bellota 115 kV,11/30/2025,5/1/2029,,NA,Complete,,NA,,,,37.89981996907295,-121.3246266,6,77,1042.8487310257456,1
ADRIAN STORAGE,1905,4/13/2021,ACTIVE,C14,Storage,,,Battery,,,55.5,,,41.1,,,,Full Capacity,,,,san mateo,CA,PGAE,Northern,Millbrae 60 kV,7/1/2025,7/1/2025,,NA,Complete,,NA,,,,37.57068627022148,-122.3587217,6,81,1541.5578276494086,1
ALVISO ENERGY STORAGE,1906,4/15/2021,ACTIVE,C14,Storage,,,Battery,,,256.29,,,250,,,,Full Capacity,,,,santa clara,CA,PGAE,Northern,Los Esteros 230 kV,6/1/2025,6/1/2026,,NA,Complete,,NA,,,,37.294548259568394,-121.9359464,6,85,729.0553939529617,0
ZORIN STORAGE,1911,4/10/2021,ACTIVE,C14,Storage,,,Battery,,,252,,,180,,,,Full Capacity,,,,alameda,CA,PGAE,Northern,Newark 230 kV,10/31/2024,10/31/2024,,NA,Complete,,NA,,,,37.72273599727592,-122.0764573,6,1,1091.4935557579097,1
KOLA 2,1912,4/9/2021,ACTIVE,C14,Storage,,,Battery,,,365.12,,,300,,,,Full Capacity,,,,alameda,CA,PGAE,Northern,Tesla 230 kV,11/30/2025,12/1/2030,,NA,Complete,,NA,,,,37.71249791752174,-122.0844818,6,1,1175.2539670816936,1
OVERLAKE STORAGE,1913,4/13/2021,ACTIVE,C14,Storage,,,Battery,,,62.6,,,46.5,,,,Full Capacity,,,,alameda,CA,PGAE,Northern,Dumbarton-Newark 115 kV Line,7/1/2025,7/1/2025,,NA,Complete,,NA,,,,37.71646060831473,-122.1102957,6,1,2912.134932572379,0
BLACK DIAMOND ES2,1914,4/15/2021,ACTIVE,C14,Storage,,,Battery,,,179.4,,,175,,,,Full Capacity,,,,contra costa,CA,PGAE,Northern,Pittsburg 230 kV,6/1/2024,6/1/2024,,NA,Complete,,NA,,,,37.91051520851853,-122.0426262,6,13,1665.563923616309,1
SHERMAN ENERGY STORAGE,1915,4/14/2021,ACTIVE,C14,Storage,,,Battery,,,256.29,,,250,,,,Full Capacity,,,,contra costa,CA,PGAE,Northern,Contra Costa PP 230 kV,6/1/2025,6/1/2026,,NA,Complete,,NA,,,,37.94999119160636,-122.0171145,6,13,1032.3784182813479,0
STIRLING BRIDGE,1916,4/6/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,257.35,250,,250,,,,Full Capacity,,,,san joaquin,CA,PGAE,Northern,Bellota 115 kV,12/31/2024,12/31/2024,,NA,Complete,,NA,,,,37.91793841283446,-121.3229476,6,77,1351.4942979567763,0
STIRLING BRIDGE 2 ES,1917,4/12/2021,ACTIVE,C14,Storage,,,Battery,,,102.6,,,100,,,,Full Capacity,,,,san joaquin,CA,PGAE,Northern,Bellota 115 kV,12/31/2024,12/31/2024,,NA,Complete,,NA,,,,37.900337500236944,-121.310986,6,77,2977.317073399199,1
KIFER BESS 1,1918,4/13/2021,ACTIVE,C14,Storage,,,Battery,,,50,,,50,,,,Full Capacity,,,,santa clara,CA,PGAE,Northern,KEN-OKJ 60 kV,10/1/2023,10/1/2023,,NA,,,NA,,,,37.31369207891608,-121.8982237,6,85,1640.3111016705254,0
SUNBEAM STORAGE,1919,4/10/2021,ACTIVE,C14,Storage,,,Battery,,,100.9,,,65,,,,Full Capacity,,,,san mateo,CA,PGAE,Northern,Cooley Landing 60 kV,10/31/2024,10/31/2024,,NA,Complete,,NA,,,,37.56883968455379,-122.3207373,6,81,1405.9416232078972,0
ZEUS BESS,1920,4/15/2021,ACTIVE,C14,Storage,,,Battery,,,213.55,,,200,,,,Full Capacity,,,,san joaquin,CA,PGAE,Northern,Schulte 115 kV,6/1/2024,6/1/2026,,NA,Complete,,NA,,,,37.905190554947325,-121.3248213,6,77,311.00626852392986,1
ALLIUM HYBRID,1921,4/14/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,112.386,112.491,,110,,,,Full Capacity,,Off-Peak Deliverability,,san benito,CA,PGAE,Northern,Crazy Horse Canyon-Hollister 115 kV Line,6/1/2025,6/1/2026,,NA,Complete,,NA,,,,36.84028891396027,-121.4100189,6,69,1759.0985193669262,1
ALTA CASA STORAGE,1922,4/14/2021,ACTIVE,C14,Storage,,,Battery,,,515.418,,,500,,,,Full Capacity,,,,san joaquin,CA,PGAE,Northern,Tesla 500 kV,6/1/2025,6/1/2026,,NA,Complete,,NA,,,,37.94896865710823,-121.279992,6,77,810.1521654216492,1
EPPS STORAGE,1924,4/14/2021,ACTIVE,C14,Storage,,,Battery,,,305,,,300,,,,Full Capacity,,,,contra costa,CA,PGAE,Northern,Moraga 230 kV,12/15/2023,3/31/2026,,NA,Complete,,NA,,,,37.94072091800286,-122.0134293,6,13,288.66374665248657,0
EL REY POWER BANK,1928,4/10/2021,ACTIVE,C14,Storage,,,Battery,,,124.3,,,120,,,,Full Capacity,,,,monterey,CA,PGAE,Northern,Coburn-Basic Energy 60 kV Line,4/1/2025,4/1/2025,,NA,Complete,,NA,,,,36.62374856836846,-121.6684159,6,53,966.8304645152014,1
CAZADORES STORAGE,1929,4/10/2021,ACTIVE,C14,Storage,,,Battery,,,151.3,,,150,,,,Full Capacity,,,,san joaquin,CA,PGAE,Northern,Lammers 115 kV,10/31/2024,10/31/2024,,NA,Complete,,NA,,,,37.924768809262524,-121.2832278,6,77,1244.7257601525764,1
APACHE STORAGE,1930,3/24/2021,ACTIVE,C14,Storage,,,Battery,,,203.699,,,200,,,,Full Capacity,,,,fresno,CA,PGAE,Kern,Sanger 115 kV,6/1/2025,6/1/2025,,NA,Complete,,NA,,,,36.76497400003941,-119.7756865,6,19,1267.8870794875413,1
COUGAR STORAGE,1932,3/24/2021,ACTIVE,C14,Storage,,,Battery,,,203.699,,,200,,,,Full Capacity,,,,merced,CA,PGAE,Fresno,Wilson 115 kV,6/1/2025,6/1/2025,,NA,Complete,,NA,,,,37.261094104497886,-120.6286314,6,47,2167.8672980254028,1
PUMA STORAGE,1933,3/24/2021,ACTIVE,C14,Storage,,,Battery,,,203.699,,,200,,,,Full Capacity,,,,madera,CA,PGAE,Fresno,Borden 230 kV,6/1/2025,6/1/2025,,NA,Complete,,NA,,,,37.03168261325112,-120.02627,6,39,2544.1750557451846,1
LOTUS SOLAR 2,1934,4/1/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,203.2,203.2,,200,,,,Full Capacity,,Off-Peak Deliverability,,madera,CA,PGAE,Fresno,Borden 230 kV,12/1/2024,3/1/2028,,NA,Complete,,NA,,,,37.016484272104684,-119.9967476,6,39,2711.642669092769,0
ELYSIAN,1935,4/1/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,206.091,206.091,,200,,,,Full Capacity,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Tranquility 230 kV,11/1/2024,10/1/2027,,NA,Complete,,NA,,,,36.76246765,-119.7648877,6,19,1845.3056161578793,0
WHITE RABBIT,1940,4/1/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,153,153.3,,150,,,,Full Capacity,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Mendota 115 kV,11/1/2024,10/1/2027,,NA,Complete,,NA,,,,36.72458073215284,-119.7739822,6,19,497.65896181572435,0
WINGTIP SOLAR 1,1943,4/2/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,1176.1,1176.1,,1150,,,,Full Capacity,,Off-Peak Deliverability,,merced,CA,PGAE,Fresno,Los Banos 500 kV,6/1/2027,3/1/2028,,NA,Complete,,NA,,,,37.27905332560628,-120.6162788,6,47,1228.3023347177113,0
DARDEN,1949,4/8/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,1182.384,1182.384,,1150,,,,Full Capacity,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Los Banos-Midway #2 500 kV Line,12/31/2026,12/31/2026,,NA,Complete,,NA,,,,36.72002568395488,-119.7882342,6,19,590.5363975364398,0
AUSTRALIS,1952,4/7/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,307,307,,300,,,,Full Capacity,,Off-Peak Deliverability,,merced,CA,PGAE,Fresno,Los Banos 230 kV,6/1/2025,6/1/2026,,NA,Complete,,NA,,,,37.26320842973211,-120.6465811,6,47,1424.3187926656606,1
FLORES STORAGE,1953,4/7/2021,ACTIVE,C14,Storage,,,Battery,,,151.7416,,,150,,,,Full Capacity,,Off-Peak Deliverability,,madera,CA,PGAE,Fresno,Gregg 230 kV,10/1/2025,10/1/2025,,NA,Complete,,NA,,,,37.019708185102246,-119.9993086,6,39,1460.8473189605065,1
HUASO HYBRID,1954,4/6/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,101.83,102.1,,100,,,,Full Capacity,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Gates 230 kV,12/1/2025,12/31/2026,,NA,Complete,,NA,,,,36.756576711906725,-119.7506155,6,19,413.6823317001042,1
